Postcode,Installation_2001,Output_2001,Installation_2002,Output_2002,Installation_2003,Output_2003,Installation_2004,Output_2004,Installation_2005,Output_2005,Installation_2006,Output_2006,Installation_2007,Output_2007,Installation_2008,Output_2008,Installation_2009,Output_2009,Installation_2010,Output_2010,Installation_2011,Output_2011,Installation_2012,Output_2012,Installation_2013,Output_2013,Installation_2014,Output_2014,Installation_2015,Output_2015,Installation_2016,Output_2016,Installation_2017,Output_2017,Installation_2018,Output_2018,Installation_2019,Output_2019,Installation_2020,Output_2020,Installation_2021,Output_2021,Installation_Total,Output_Total
0,0,0,2,2.58,0,0,1,0.98,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.46
200,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08
800,0,0,0,0,0,0,0,0,1,0.16,0,0,2,19.2,4,15.38,0,0,0,0,2,5.26,2,58.005,12,48.33,6,41.045,4,133.49,6,208.07,5,281.89,11,527.74,40,682.48,11,526.04,3,48.49,109,2595.58
801,0,0,0,0,0,0,2,3.44,0,0,0,0,0,0,0,0,0,0,0,0,1,2.02,0,0,0,0,0,0,1,6,1,66.708,1,24.84,1,31.86,0,0,1,99.99,0,0,8,234.858
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.12,0,0,1,5.565,0,0,0,0,0,0,0,0,2,11.685
804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.17,1,6.02,3,14.08,0,0,2,10.595,1,4.77,0,0,1,4.59,2,21.725,0,0,1,9.36,0,0,15,78.31
810,0,0,0,0,0,0,0,0,1,0.115,0,0,0,0,5,8.25,35,47.31,127,190.658,46,166.39,62,242.19,159,770.127,171,951.66,225,1105.465,366,2193.606,394,2740.676,400,2876.639,679,5078.405,547,4186.715,77,661.14,3294,21219.346
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,28,48.69,62,105.399,31,91.475,35,139.51,103,497.885,71,298.522,122,622.83,126,733.806,195,1334.257,246,1757.254,391,2732.18,358,2405.727,42,344.49,1811,11113.015
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.064,0,0,0,0,2,9.585,1,59.8,1,4.5,1,3,0,0,0,0,0,0,1,6.6,0,0,7,85.549
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.16,0,0,1,3.9,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,5.18,4,18.24
820,0,0,0,0,0,0,0,0,1,0.24,0,0,0,0,0,0,2,2.34,14,25.95,14,40.39,20,89.365,43,244.26,46,463.975,54,886.275,90,1099.667,126,1497.383,157,1773.789,243,2092.685,249,2736.415,38,489.27,1097,11442.004
821,0,0,0,0,0,0,0,0,0,0,1,9.6,0,0,1,7.26,0,0,0,0,0,0,0,0,0,0,1,9.88,0,0,2,104.313,0,0,1,15.95,1,9.3,0,0,0,0,7,156.303
822,0,0,0,0,3,18.9,1,4.8,0,0,1,10.4,3,18.9,7,21.6,12,82.825,21,114.891,19,167.486,17,119.024,21,133.5,35,207.695,45,493.345,82,1064.033,102,1505.306,134,1478.312,178,1981.337,177,1630.03,22,187.79,880,9240.174
828,0,0,0,0,0,0,1,4.8,0,0,0,0,0,0,0,0,1,1.02,0,0,1,9.88,1,15.12,6,72.79,7,196.61,9,181.86,25,275.81,32,447.996,28,498.995,54,640.375,54,882.705,22,274.28,241,3502.241
829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,13.95,1,4.5,8,201.59,3,102.85,4,128.545,7,265.79,8,154.155,2,18.5,36,890.88
830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14.19,26,40.3,61,99.003,53,132.715,52,193.025,101,411.68,96,419.26,91,796.81,166,858.309,180,1106.699,288,2093.058,444,3226.205,333,2585.125,44,342.745,1942,12319.124
831,0,0,0,0,0,0,1,5.12,1,6.4,0,0,0,0,0,0,0,0,2,3.15,1,3.24,0,0,1,3.92,0,0,1,4.5,1,6.095,0,0,1,6.555,0,0,0,0,0,0,9,38.98
832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.97,9,12.2,35,51.029,32,83.61,38,140.27,90,352.355,69,302.165,74,323.36,252,1355.111,320,1946.518,406,2811.003,514,3356.448,363,2404.37,51,344.725,2255,13486.134
834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21.95,13,52.4,16,74.045,15,100.485,16,92.015,32,220.071,34,262.061,47,363.885,48,421.615,9,95.355,234,1703.882
835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.57,6,9.88,26,62.695,17,60.95,22,82.985,34,163.935,24,117.315,27,235.681,29,136.185,50,345.36,59,424.417,86,707.075,99,830.46,12,78.68,493,3265.188
836,0,0,0,0,0,0,0,0,1,4.8,0,0,0,0,5,6.19,16,25.392,33,59.355,21,74.88,48,213.845,67,372.208,87,456.785,48,272.295,82,532.707,105,730.726,178,1378.908,255,2120.195,193,1552.29,30,247.495,1169,8048.071
837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.04,0,0,1,1.5,1,3,6,29,5,24.96,0,0,9,92.27,5,37.285,9,68.186,11,116.69,12,199.59,2,18.49,62,593.011
838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2,2,2.04,6,10.375,2,4.44,3,14.25,5,21.355,9,45.095,5,79.86,7,45.005,12,81.232,13,105.635,27,211.6,25,268.315,3,53,120,945.402
839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.505,2,101.615,4,36.74,8,177.16,6,104.505,1,6.6,22,431.125
840,0,0,0,0,0,0,0,0,0,0,0,0,1,2.56,0,0,0,0,2,2.54,0,0,2,9.63,6,30.94,6,28.505,5,27.05,19,98.14,12,63.21,12,87.04,29,209.775,15,112.895,3,17.72,112,690.005
841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.14,3,7.035,0,0,0,0,1,6,4,12.24,6,33.44,10,51.925,10,247.795,18,148.95,14,213.055,0,0,68,724.58
845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.62,2,2.93,2,3.81,1,4.14,3,48.361,8,35.56,9,46.855,8,42.845,8,166.025,3,19.17,9,108.19,5,27.89,8,73.84,2,14.9,72,599.136
846,0,0,0,0,0,0,0,0,0,0,1,4.8,1,2.56,0,0,1,6.3,4,8.86,1,2.25,0,0,2,8,1,3,6,25.4,9,67.52,5,32.64,3,54.43,6,54.89,3,21.085,2,13.26,45,304.995
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.84,2,89.5,2,39.485,2,9.01,0,0,2,12.06,2,12.96,1,6.49,9,88.96,0,0,21,265.305
850,0,0,0,0,1,2.56,0,0,2,19.6,1,10.5,0,0,1,6.6,9,8.46,15,23.875,11,108.615,1,4.32,31,164.07,63,558.225,103,1110.355,74,469.525,40,467.138,66,575.081,106,1163.55,250,1472.495,27,192.345,801,6357.314
851,0,0,0,0,0,0,0,0,0,0,1,6.56,1,1.53,1,5.8,0,0,5,12.365,5,11.495,2,14.82,5,25.5,7,30.34,8,59.035,9,57.29,0,0,1,39.44,0,0,1,61.2,0,0,46,325.375
852,1,3.5,0,0,0,0,0,0,5,25.28,3,21.33,4,34.42,9,24.43,3,31.5,4,53.5,1,1.575,5,32.63,8,56.97,5,53.5,1,5,14,129.89,9,124.425,16,394.89,27,297.5,35,589.03,2,20.35,152,1899.72
853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.65,0,0,0,0,0,0,0,0,0,0,1,2.65
854,0,0,0,0,0,0,0,0,3,9,1,11.645,0,0,0,0,0,0,0,0,0,0,1,7.41,0,0,1,5,1,60.32,0,0,2,9.54,0,0,1,36.48,3,19.8,1,30,14,189.195
860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.6,1,14,2,27.816,0,0,20,104.43,14,81.25,29,127,19,117.593,0,0,0,0,24,145.69,10,73.68,2,39.44,122,736.499
861,0,0,0,0,1,0.6,7,13.68,0,0,3,22.685,0,0,2,32.25,0,0,0,0,1,3.04,0,0,2,12.24,1,18,1,4,0,0,0,0,0,0,0,0,3,15.1,0,0,21,121.595
862,0,0,0,0,0,0,0,0,0,0,1,2.635,0,0,0,0,0,0,1,34.13,0,0,2,21.75,1,7,0,0,1,4.5,4,38.375,11,101.24,1,5.4,5,78.3,6,73.26,0,0,33,366.59
870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,117.7,56,140.19,197,492.155,115,460.445,172,625.357,271,1298.365,255,1474.065,261,1506.679,235,1689.291,231,1533.874,217,1791.481,232,1870.87,249,2530.329,40,387.095,2553,15917.896
871,0,0,2,8.75,0,0,7,12.75,10,58.88,2,10.6,4,36.495,1,15,1,1.98,8,43.9,7,133.07,5,38.8,0,0,2,7.5,4,15.835,2,10.62,0,0,0,0,2,13.2,0,0,0,0,57,407.38
872,10,28.68,10,15.5,6,13.91,1,0.8,9,30.65,5,32.035,8,61.51,6,60.82,4,39.05,1,7.05,3,76.03,7,84.956,4,26.04,5,39.85,9,194.905,17,292.55,17,303.376,14,137.6,16,254.025,16,273.19,17,285.29,185,2257.817
873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,6,40.5,19,89.176,19,95.602,21,134.74,23,269.496,40,329.635,2,13.29,133,994.439
874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,1,40,2,10.71,1,5.4,1,5.13,8,49.13,3,19.69,1,6.29,18,140.85
875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,85.583,22,93.677,22,110.266,19,194.59,11,71.36,31,245.12,3,20.24,128,820.836
880,0,0,0,0,0,0,0,0,2,13.6,0,0,2,2.58,0,0,0,0,0,0,5,100.737,2,36.514,0,0,0,0,0,0,11,75.06,0,0,0,0,0,0,1,10.71,0,0,23,239.201
881,0,0,0,0,0,0,2,5.75,2,12.16,3,25.04,0,0,2,3.3,0,0,2,60,1,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107.73
885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.41,0,0,0,0,0,0,3,123.76,0,0,2,89.4,6,278.37,1,99.66,0,0,13,598.6
886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,53.95,0,0,0,0,2,10.34,1,7.41,0,0,0,0,0,0,1,59.84,0,0,0,0,1,20.15,0,0,0,0,10,151.69
1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14
1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.02
1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.54
1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.75,0,0,0,0,0,0,0,0,0,0,1,4.75
1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52,0,0,0,0,0,0,0,0,1,4.29,0,0,0,0,0,0,0,0,2,5.81
1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.86,1,5.025,0,0,0,0,0,0,3,11.985
1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.88,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.88
1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.51
1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.75,0,0,0,0,0,0,0,0,0,0,1,6.48,0,0,2,11.23
1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.15
1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.56,0,0,0,0,3,11.7
1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,0,0,4,15.885,0,0,1,9.9,0,0,7,33.785
1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.245,1,6.6,0,0,0,0,3,17.845
1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.04
1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.6,0,0,2,13.1
1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.44
1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.18,0,0,0,0,0,0,1,5.2,0,0,0,0,0,0,0,0,0,0,0,0,2,9.38
1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8,0,0,0,0,0,0,0,0,0,0,1,4.8
1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.01
1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,4,0,0,0,0,0,0,0,0,1,5.49,0,0,0,0,4,13.49
1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.98,0,0,0,0,0,0,0,0,0,0,0,0,1,3.12,0,0,0,0,0,0,0,0,2,5.1
1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.04,3,8.88,0,0,1,3.5,0,0,1,3.78,0,0,0,0,0,0,1,6.6,0,0,8,25.8
1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52,0,0,0,0,2,39.5,1,74.88,0,0,0,0,0,0,0,0,0,0,4,115.9
1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2
1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.72,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,14.72
1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.08
1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14
1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.04
1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52,2,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25.42
1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52
1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.61
1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.14,2,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.29
1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2,5.13,0,0,0,0,1,4.75,0,0,0,0,0,0,0,0,1,6.66,0,0,5,18.04
2000,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,1,64.8,4,68.21,2,23.16,2,16.83,4,52.037,1,24,2,49.66,20,357.396,5,182.578,2,93.825,6,290.19,1,64.8,51,1288.986
2007,0,0,0,0,1,1.23,0,0,0,0,0,0,0,0,0,0,0,0,5,13.18,4,25.34,2,3.88,2,39.12,1,4.75,2,17.48,1,30.16,0,0,0,0,2,55.55,8,166.49,0,0,28,357.18
2008,0,0,0,0,0,0,0,0,0,0,0,0,1,1.08,2,2.25,2,19.33,13,21.435,5,7.56,1,1.14,1,2.52,6,60.21,7,136.62,13,282.233,0,0,11,91.941,3,9.74,12,62.77,5,26.765,82,725.594
2009,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4,0,0,0,0,0,0,4,7.52,2,8.72,0,0,0,0,0,0,2,53.28,2,104.4,2,10.35,3,131,1,30.81,0,0,17,348.48
2010,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,3,3.57,21,57.932,23,77.493,7,35.86,25,100.96,10,35.313,9,42.17,10,164.95,16,284.405,7,62.696,14,85.73,21,175.87,13,103.5,180,1231.949
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.04,3,3.03,3,7.09,5,32.41,3,11.624,3,7.74,1,1.5,2,98,3,11.74,1,19.84,4,69.79,6,157.315,3,56.1,5,57.7,44,535.919
2015,0,0,0,0,0,0,0,0,0,0,0,0,2,2.01,2,2.002,5,7.48,23,65.845,21,46.25,11,22.93,13,95.36,10,227.495,19,243.27,20,274.485,24,245.975,20,388.364,28,541.086,24,526.04,19,779.4,241,3467.992
2016,0,0,0,0,0,0,0,0,0,0,0,0,1,1.002,3,4.56,3,4.42,20,46.04,17,32.44,3,9.385,4,12.95,9,25.849,5,12.7,7,30.71,10,150.63,13,99.17,16,133.523,20,160.935,1,35.04,132,759.354
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.02,11,22.81,3,14.21,6,53.15,2,36,3,8.9,8,177.065,5,38.635,3,119.43,4,64.885,16,319.6,10,124.76,1,6.63,73,987.095
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.98,5,5.445,52,120.77,49,105.625,35,94.465,3,40.34,13,59.22,22,83.575,38,226.172,13,53.415,21,189.25,48,379.175,54,527.82,34,232.37,389,2119.622
2019,0,0,0,0,2,1.41,0,0,0,0,0,0,0,0,0,0,12,14.752,46,85.525,43,116.66,29,121.155,16,141.275,22,424.81,19,116.708,10,71.94,18,191.8,33,364.965,36,669.825,51,816.815,38,348.03,375,3485.67
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.19,27,53.534,64,123.6,34,81.13,18,104.53,21,198.15,10,43.19,19,312.835,16,120.735,18,244.085,36,370.583,59,690.43,34,220.475,363,2571.467
2021,0,0,0,0,1,2.25,0,0,0,0,1,0.93,4,6.68,1,1.002,5,6.775,17,35.68,22,43.34,15,60.49,8,20.315,5,32.03,7,23.121,16,167.326,15,152.42,22,118.695,30,179.132,42,261.385,16,202.9,227,1314.471
2022,0,0,0,0,0,0,0,0,0,0,0,0,2,3.16,4,5.072,5,6.085,36,67.1,27,63.074,18,69.84,8,21.73,16,68.709,17,65.85,15,148.253,14,70.62,22,240.936,33,224.865,41,265.12,21,137.75,279,1458.164
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.095,6,26.125,17,47.21,19,68.594,8,32.31,11,51.575,17,79.621,14,92.739,23,178.675,18,141.57,33,276.431,26,236.535,38,411.52,15,131.525,247,1778.525
2024,1,1,0,0,1,3.15,1,1.5,0,0,0,0,2,2.91,8,11.77,7,12.795,62,123.55,26,55.06,14,48.835,10,46.6,15,77.19,27,119.895,20,127.554,34,225.129,38,396.74,47,609.095,50,396.925,21,160.04,384,2419.738
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.52,2,2.55,10,25.31,20,54.469,3,11.5,2,7.75,5,20.3,8,21.212,8,61.05,9,39.945,14,85.154,19,173.065,19,141.155,6,50.43,130,702.41
2026,0,0,0,0,0,0,0,0,1,0.9,0,0,3,7.4,3,3.57,21,30.065,62,158.492,57,130.093,28,79.52,14,45.835,33,112.564,30,131.687,34,169.595,40,205.255,46,321.594,59,383.625,91,701.72,49,365.795,571,2847.71
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.03,7,19.095,6,19.27,1,1.6,4,10.11,7,52.19,8,47.885,8,78.354,5,26.88,5,90.62,11,106.23,11,76.075,2,11.425,78,542.764
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,1,1.36,10,22.345,3,18.92,0,0,3,5.105,1,4,3,9.395,4,21.715,3,15.84,10,78.1,9,111.64,9,100.78,6,105.41,63,496.01
2029,0,0,0,0,0,0,0,0,0,0,0,0,1,2.31,4,4.675,3,3,15,33.83,16,51.75,5,15.6,6,22.198,8,33.02,18,121.185,11,53.79,10,58.261,19,169.62,16,125.48,31,287.725,15,126.15,178,1108.594
2030,0,0,1,1.5,0,0,0,0,0,0,0,0,1,2.64,4,4.96,4,5.17,33,99.21,38,87.417,18,55.025,23,93.008,24,105.168,36,190.952,23,213.696,37,336.752,43,293.997,44,386.847,82,777.275,24,216.375,435,2869.992
2031,1,1.1,1,0.9,0,0,0,0,1,0.96,0,0,0,0,6,8.81,19,33.96,89,200.37,99,231.165,32,85.125,20,72.62,29,182.794,33,191.8,33,173.705,41,289.029,67,543.094,74,669.555,106,798.745,49,397.63,700,3881.362
2032,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,3,4.022,4,5.61,49,100.94,48,118.099,22,56.09,12,41.23,12,44.76,22,98.566,11,50.55,23,116.553,51,387.945,45,304.625,45,317.84,23,165.12,371,1812.03
2033,1,4.4,0,0,1,0.75,0,0,0,0,0,0,0,0,1,2.04,6,9.41,20,54.86,28,78.395,14,31.78,6,18.5,7,31.78,16,90.192,9,49.91,10,60.799,23,209.246,18,238.41,26,209.295,17,164.53,203,1254.297
2034,0,0,0,0,0,0,1,0.08,0,0,0,0,2,2.13,4,5.059,5,9.05,60,149.006,53,124.428,13,35.082,21,90.33,17,65.244,25,74.38,16,80.895,28,132.504,65,409.588,54,395.31,68,517.065,37,292.925,469,2383.076
2035,0,0,0,0,0,0,0,0,0,0,0,0,1,0.96,4,4.155,31,76.58,148,315.495,143,291.75,86,200.11,36,169.495,51,184.11,58,269.616,35,171.095,57,293.14,137,926.235,87,586.095,173,1518.425,90,738.13,1137,5745.391
2036,0,0,0,0,1,1.35,0,0,0,0,1,0.16,1,1.05,7,9.467,23,28.29,129,282.915,135,298.98,98,229.47,40,151.085,63,293.46,72,358.976,45,245.91,53,364.213,118,859.234,117,831.52,173,1537.645,124,843.88,1200,6337.605
2037,0,0,0,0,0,0,0,0,0,0,0,0,1,1.32,5,6.7,7,12.88,36,76.274,31,68.175,10,17.6,10,45.685,27,139.094,13,82.205,15,68.867,27,131.49,26,233.22,19,91.475,29,207.795,23,161.94,279,1344.72
2038,0,0,1,1.785,2,1.5,0,0,0,0,0,0,3,4.044,4,4.17,7,8.49,46,84.399,31,70.022,14,28.8,7,22.5,22,77.285,21,70.215,21,78.98,23,104.805,39,258.02,40,257.659,51,297.25,17,89.23,349,1459.154
2039,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05,0,0,4,4.3,39,89.419,38,88.7,7,16.07,10,40.9,14,116.587,14,56.165,7,27.805,20,89.16,32,184.075,24,116.37,31,217.06,13,79.515,254,1127.176
2040,0,0,1,0.45,1,1.12,0,0,0,0,0,0,1,1.02,9,13.58,20,31.57,97,190.628,94,216.285,53,142.43,34,96.057,56,182.816,43,186.875,48,420.97,50,232.067,81,439.865,80,603.027,119,999.615,54,294.285,841,4052.66
2041,1,1.98,0,0,0,0,0,0,0,0,2,4.11,5,7.113,5,5.98,10,12.55,58,134.61,43,90.599,22,52.79,25,68.495,31,126.73,32,97.045,23,107.521,29,130.41,49,221.023,48,234.685,58,369.83,33,207.137,474,1872.608
2042,0,0,0,0,1,1.5,0,0,1,1.5,0,0,3,4.154,9,11.64,16,29.375,64,123.48,56,143.501,26,51.864,25,102.715,28,82.001,33,134.586,34,301.315,40,216.89,45,208.934,49,341.6,70,384.26,23,118.49,523,2257.805
2043,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,3,3.12,2,3.06,18,29.62,19,34.354,8,24.765,4,8.74,7,20.53,6,16.64,8,33.275,5,31.62,12,119.295,13,151.78,20,137.49,8,42.675,134,657.414
2044,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,2,2.034,13,24.052,51,120.54,41,76.243,38,109.065,31,121.36,28,119.423,17,164.935,24,145.597,27,209.7,25,151.14,35,303.02,41,400.235,24,233.505,398,2181.449
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.19,17,44.35,31,86.05,7,20.63,4,11.47,10,63.13,16,76.05,13,51.41,27,224.359,34,262.057,39,300.93,61,651.38,23,201.965,287,1999.971
2046,0,0,0,0,0,0,0,0,0,0,1,0.99,0,0,7,8.46,21,28.23,107,253.23,109,226.462,63,143.595,23,113.225,42,139.047,51,332.495,39,212.89,44,272.635,76,586.594,92,980.327,162,1288.645,61,446.99,898,5033.815
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.065,6,5.81,24,58.699,40,92.194,20,53.01,15,57.754,7,32.31,15,60.69,11,39.98,17,84.613,26,202.478,24,149.515,52,373.88,18,135.405,277,1348.403
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,8,8.1,28,55.504,25,57.815,17,27.985,8,28.44,10,141.595,11,31.8,9,31.95,10,47.748,25,240.56,24,217.242,36,220.03,16,110.065,228,1219.824
