Postcode,Installation_2001,Output_2001,Installation_2002,Output_2002,Installation_2003,Output_2003,Installation_2004,Output_2004,Installation_2005,Output_2005,Installation_2006,Output_2006,Installation_2007,Output_2007,Installation_2008,Output_2008,Installation_2009,Output_2009,Installation_2010,Output_2010,Installation_2011,Output_2011,Installation_2012,Output_2012,Installation_2013,Output_2013,Installation_2014,Output_2014,Installation_2015,Output_2015,Installation_2016,Output_2016,Installation_2017,Output_2017,Installation_2018,Output_2018,Installation_2019,Output_2019,Installation_2020,Output_2020,Installation_2021,Output_2021,Installation_Total,Output_Total
3516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.15,13,19.78,29,72.476,16,65.425,2,7,7,31.33,7,28.2,11,75.745,8,68.83,5,42.534,6,45.47,11,66.515,5,39.96,122,566.415
3517,0,0,0,0,0,0,0,0,0,0,1,0.99,1,1.024,4,5.553,5,5.66,26,50.084,55,118.171,34,116.142,8,27.5,20,64.74,18,69.86,25,127.695,26,247.949,17,101.425,31,397.66,31,242.56,11,66.82,313,1643.833
3518,0,0,0,0,0,0,2,2.08,2,1.92,0,0,0,0,1,1.7,8,9.29,18,29.6,39,96.902,21,70.56,19,72.4,26,134.305,22,76.29,18,141.182,15,69.91,22,120.98,18,131.515,25,166.845,7,35.38,263,1160.859
3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52,7,10.74,1,3,3,14.8,1,2,5,14.5,3,36.36,7,33.47,3,11.98,6,20.65,2,10.56,2,8.07,41,167.65
3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.592,7,10.41,12,28.365,7,25.775,13,67.7,10,36.25,15,66.38,5,22.52,6,32.03,15,90.88,8,57.68,10,88.49,2,13.2,115,546.272
3522,0,0,0,0,0,0,0,0,0,0,0,0,1,2.97,0,0,0,0,0,0,16,36.953,10,43.479,3,5.9,6,22.11,11,55.14,3,14.16,5,22.32,4,19.715,4,22.81,7,45.505,1,6.6,71,297.662
3523,0,0,0,0,0,0,0,0,1,0.8,1,0.16,4,4.91,9,14.18,12,16.785,56,105.51,121,313.642,108,374.555,64,260.865,61,236.778,29,104.89,50,230.3,58,311.315,73,432.155,73,710.246,73,597.2,23,184.39,816,3898.681
3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.485,5,6.83,16,23.2,27,76.731,41,167.645,24,105.26,30,174.917,13,53.45,11,62.735,17,141.615,26,227.83,19,215.095,13,95.8,16,91.045,259,1443.638
3527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05,0,0,13,43.36,11,32.775,25,93.28,9,44.905,8,25.88,6,24.1,7,88.96,11,93.325,5,45.793,13,56.5,9,52.285,2,15.48,120,617.693
3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.4,0,0,1,4.5,1,8,2,7,1,3.12,0,0,3,25.47,3,15.105,1,8.25,2,13.2,0,0,15,90.045
