Small Generation Unit (SGU) - Solar Panel (Deemed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be aware that RET legislation allows a 12 month creation period for registered persons to create their certificates. The 2021 and 2020 figures will continue to rise due to the 12 month creation period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data as at 31/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Unit Installation Postcode,Previous Years (2001-2019) - Installations Quantity,Previous Years (2001-2019) - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0829,26,718.225,0,0.000,2,47.790,0,0.000,1,9.135,0,0.000,1,32.690,0,0.000,0,0.000,1,19.800,0,0.000,1,9.240,2,35.500,2,18.500,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,36,890.88
0830,"1,565","9,391.254",27,192.765,31,193.955,42,275.295,42,266.950,41,329.010,25,167.165,26,175.890,14,91.570,19,118.850,19,118.885,28,410.935,19,243.855,10,114.120,12.000,72.855,13.000,90.730,3.000,22.490,6,42.550,1942,12319.124
0831,9,38.980,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,9,38.98
0832,"1,841","10,737.039",42,273.780,40,256.430,32,215.905,38,244.475,47,303.405,32,212.570,31,213.235,24,159.790,18,119.470,16,105.480,29,207.310,14,92.520,10,66.465,17.000,113.630,14.000,93.520,4.000,31.330,6,39.780,2255,13486.134
0834,177,"1,186.912",0,0.000,1,9.300,4,35.460,5,34.575,11,96.160,7,51.385,4,31.085,2,15.230,3,30.250,4,33.950,3,57.290,4,26.930,2,21.970,2.000,15.100,3.000,21.685,1.000,6.630,1,29.970,234,1703.882
0835,382,"2,356.048",9,66.565,13,158.730,6,42.125,9,64.350,10,84.180,14,110.440,8,62.600,8,52.350,6,48.690,1,5.280,9,58.420,6,76.730,2,15.900,4.000,32.130,3.000,11.450,0.000,0.000,3,19.200,493,3265.188
0836,946,"6,248.286",21,150.375,21,167.675,23,181.315,19,157.180,22,176.645,19,156.910,19,144.745,19,148.260,12,91.280,11,86.785,5,55.570,2,35.550,4,26.750,10.000,69.165,8.000,92.310,5.000,29.670,3,29.600,1169,8048.071
0837,48,374.931,2,13.000,2,17.400,0,0.000,5,144.140,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,25.050,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,1.000,9.250,1,9.240,62,593.011
0838,92,624.087,4,34.170,1,6.600,0,0.000,4,31.585,4,36.400,2,18.340,2,15.700,0,0.000,1,9.240,2,13.200,2,18.340,3,84.740,0,0.000,1.000,34.650,0.000,0.000,1.000,9.100,1,9.250,120,945.402
0839,15,320.020,1,6.615,0,0.000,1,6.650,0,0.000,0,0.000,0,0.000,3,51.280,0,0.000,1,39.960,0,0.000,0,0.000,0,0.000,1,6.600,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,22,431.125
0840,94,559.390,0,0.000,2,13.215,1,9.295,1,6.600,2,13.860,2,15.855,3,25.155,1,6.615,1,6.600,2,15.700,0,0.000,0,0.000,0,0.000,2.000,8.480,1.000,9.240,0.000,0.000,0,0.000,112,690.005
0841,54,511.525,0,0.000,2,18.600,0,0.000,2,15.815,3,118.000,1,9.240,1,6.600,0,0.000,2,18.600,1,9.240,0,0.000,2,16.960,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,68,724.58
0845,62,510.396,1,6.490,2,13.000,1,10.400,1,10.890,1,6.600,0,0.000,0,0.000,0,0.000,1,19.800,0,0.000,1,6.660,0,0.000,0,0.000,1.000,8.250,0.000,0.000,1.000,6.650,0,0.000,72,599.136
0846,40,270.650,1,9.145,1,9.300,1,2.640,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,1.000,6.600,0.000,0.000,1,6.660,45,304.995
0847,12,176.345,1,1.320,0,0.000,1,6.490,2,47.600,0,0.000,0,0.000,0,0.000,2,13.500,0,0.000,1,9.250,1,6.600,1,4.200,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,21,265.305
0850,524,"4,692.474",10,130.850,16,115.610,16,169.565,10,106.230,10,81.810,46,232.155,10,90.820,17,88.980,39,133.650,40,137.225,29,138.790,7,46.810,5,38.840,9.000,61.375,5.000,38.050,5.000,33.300,3,20.780,801,6357.314
0851,45,264.175,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,61.200,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,46,325.375
0852,115,"1,290.340",5,135.920,2,14.890,1,6.300,1,9.100,6,87.020,3,23.760,0,0.000,6,41.280,2,15.540,2,71.940,4,55.240,3,128.040,1,11.100,1.000,9.250,0.000,0.000,0.000,0.000,0,0.000,152,1899.72
0853,1,2.650,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,2.65
0854,10,139.395,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,19.800,0,0.000,0.000,0.000,1.000,30.000,0.000,0.000,0,0.000,14,189.195
0860,110,623.379,0,0.000,0,0.000,1,6.600,5,33.000,0,0.000,0,0.000,0,0.000,1,9.000,3,25.080,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,2.000,39.440,0.000,0.000,0,0.000,122,736.499
0861,18,106.495,3,15.100,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,21,121.595
0862,27,293.330,0,0.000,0,0.000,5,23.100,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,50.160,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,33,366.59
