Postcode,Jan 2018 - Installations Quantity,Jan 2018 - SGU Rated Output In kW,Feb 2018 - Installations Quantity,Feb 2018 - SGU Rated Output In kW,Mar 2018 - Installations Quantity,Mar 2018 - SGU Rated Output In kW,Apr 2018 - Installations Quantity,Apr 2018 - SGU Rated Output In kW,May 2018 - Installations Quantity,May 2018 - SGU Rated Output In kW,Jun 2018 - Installations Quantity,Jun 2018 - SGU Rated Output In kW,Jul 2018 - Installations Quantity,Jul 2018 - SGU Rated Output In kW,Aug 2018 - Installations Quantity,Aug 2018 - SGU Rated Output In kW,Sep 2018 - Installations Quantity,Sep 2018 - SGU Rated Output In kW,Oct 2018 - Installations Quantity,Oct 2018 - SGU Rated Output In kW,Nov 2018 - Installations Quantity,Nov 2018 - SGU Rated Output In kW,Dec 2018 - Installations Quantity,Dec 2018 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,1,31.9,0,0,0,0,2,146.89,0,0,2,133.82,0,0,2,42.75,1,99.9,1,59.4,0,0,2,13.08
801,0,0,1,31.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,1,15.125,1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,28,265.835,16,89.425,22,125.545,21,126.13,38,297.525,26,203.54,33,196.187,65,418.817,31,182.8,36,211.935,42,337.39,42,421.51
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,10,64.388,18,103.503,28,308.21,13,68.97,24,145.858,15,85.965,18,127.655,19,114.71,13,81.28,27,171.86,35,314.51,26,170.345
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,7,41.1,6,80.19,12,196.014,14,126.87,18,149.78,22,368.855,16,146.965,9,93.02,8,50.05,13,153.333,20,145.742,12,221.87
821,1,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,13,138.21,9,104.49,6,137.77,5,40.44,12,110.84,5,71.22,13,253.66,10,58.285,14,141.34,12,109.796,16,155.5,19,156.761
828,1,6.48,1,3.54,3,63.12,0,0,1,6.57,4,143.91,4,19.11,3,6.94,2,76.5,2,18.95,6,53.975,1,99.9
829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6,1,12.96,1,9.145,1,99.84
830,14,85.605,23,150.51,21,125.441,18,118.407,13,141.923,20,134.99,25,155.49,29,160.901,28,207.995,39,343.795,35,236.151,23,231.85
831,0,0,0,0,0,0,0,0,1,6.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,25,160.735,22,139.87,31,286.091,24,145.21,19,111.59,27,173.765,39,243.832,35,208.47,45,292.875,59,509.535,52,326.705,28,212.325
834,2,15.37,1,6.48,3,24.816,3,21.97,3,19.46,3,17.54,2,18.42,2,15.78,1,9.145,4,36.81,5,32.975,5,43.295
835,3,17.587,1,2.32,3,18.49,2,10.06,3,22.33,5,40.475,5,37.82,4,20.4,4,29.25,13,95.735,9,78.985,7,50.965
836,15,133.545,6,43.89,8,59.865,10,86.125,12,92.36,9,69.02,18,131.59,17,148.665,12,80.546,24,180.496,25,184.461,22,168.345
837,0,0,2,17.736,1,6.21,0,0,0,0,0,0,0,0,1,9.18,0,0,2,7.73,1,9.18,2,18.15
838,0,0,0,0,2,11.065,1,9.24,0,0,3,22.27,1,10.03,1,9.18,1,12.6,1,9.1,2,15.66,1,6.49
839,0,0,0,0,0,0,1,6.6,1,20.9,0,0,0,0,1,6,0,0,0,0,1,3.24,0,0
840,0,0,3,22.1,1,2.08,0,0,0,0,1,6.6,3,22.27,0,0,1,9.3,2,13.69,0,0,1,11
841,0,0,0,0,0,0,1,9.145,1,6.93,1,9.12,1,9.18,0,0,3,188.445,1,9.24,2,15.735,0,0
845,3,18.9,2,15.66,0,0,1,30,1,9.28,0,0,0,0,0,0,0,0,2,34.35,0,0,0,0
846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22.98,0,0,0,0,1,31.45
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.96,0,0,0,0,0,0
850,4,22.56,0,0,3,25.1,2,15.72,1,9.24,5,32.72,9,64.92,2,16.436,2,14.43,7,40.76,19,216.885,12,116.31
851,0,0,0,0,1,39.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,0,0,1,5.67,0,0,2,68.97,2,13.44,1,6.48,3,35.06,1,99,3,25.16,1,99,1,3.42,1,38.69
853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.4,0,0
870,10,58.44,14,178.085,16,183.09,16,232.115,15,142.23,19,200.19,21,115.72,16,99.36,21,130.89,14,91.035,37,238.581,18,121.745
871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,3,13.68,0,0,0,0,1,39.6,0,0,1,25.2,0,0,3,21.06,0,0,1,5.13,0,0,5,32.93
873,2,14.85,0,0,2,15.105,2,10.695,1,6.2,1,7.7,2,15.51,3,23.5,0,0,2,8.22,1,1.86,5,31.1
874,0,0,0,0,1,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
