Postcode,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW
3856,2,5.38,1,10.4,1,4.59,3,11.44,2,9.18,1,4.425,0,0,1,5.13,2,14.92,2,10.98,1,5.28,0,0
3857,0,0,0,0,0,0,1,3.2,0,0,1,4.48,0,0,0,0,0,0,1,10.05,0,0,0,0
3858,1,2.2,0,0,2,8.9,1,4,4,13.875,1,4.5,3,12.98,1,4.68,6,75.32,2,12.64,4,76.18,3,11.07
3859,1,4.77,3,8.03,0,0,0,0,2,10.86,0,0,0,0,1,11.7,0,0,0,0,0,0,1,3.24
3860,3,13.34,2,7.35,5,21.38,4,18.34,5,17.38,2,8.9,5,24.02,8,46.705,3,13.14,7,96.56,4,19.905,9,78.83
3862,1,4.59,4,13.442,3,13.66,3,10.66,4,17.27,2,10.12,1,4.578,0,0,3,13.32,4,47.875,3,7.905,7,96.17
3864,0,0,0,0,0,0,0,0,1,3.42,1,9.156,0,0,0,0,3,25.65,0,0,0,0,1,5.13
3865,0,0,1,3.06,0,0,0,0,0,0,0,0,1,4.56,0,0,3,15.105,1,4.95,1,5.8,2,24.975
3869,1,4.59,0,0,0,0,1,4.5,4,17.68,5,23.735,2,7.778,2,18.36,4,35.33,1,4.86,3,14.58,4,24.1
3870,0,0,1,4.68,4,13.23,1,4.5,2,9.07,0,0,1,1.62,0,0,1,7.49,1,4.505,0,0,0,0
3871,3,17.4,2,6.56,0,0,2,7.59,4,30.27,1,4.42,3,22.2,4,24.4,3,13.94,8,58.15,2,10,2,4.32
3873,0,0,0,0,2,23.26,0,0,1,4.5,0,0,0,0,1,3.24,0,0,0,0,0,0,0,0
3874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.16,2,8.925,4,18.39,1,5.44,0,0
