Postcode,Jan 2016 - Installations Quantity,Jan 2016 - SGU Rated Output In kW,Feb 2016 - Installations Quantity,Feb 2016 - SGU Rated Output In kW,Mar 2016 - Installations Quantity,Mar 2016 - SGU Rated Output In kW,Apr 2016 - Installations Quantity,Apr 2016 - SGU Rated Output In kW,May 2016 - Installations Quantity,May 2016 - SGU Rated Output In kW,Jun 2016 - Installations Quantity,Jun 2016 - SGU Rated Output In kW,Jul 2016 - Installations Quantity,Jul 2016 - SGU Rated Output In kW,Aug 2016 - Installations Quantity,Aug 2016 - SGU Rated Output In kW,Sep 2016 - Installations Quantity,Sep 2016 - SGU Rated Output In kW,Oct 2016 - Installations Quantity,Oct 2016 - SGU Rated Output In kW,Nov 2016 - Installations Quantity,Nov 2016 - SGU Rated Output In kW,Dec 2016 - Installations Quantity,Dec 2016 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,2,44.04,1,60.48,0,0,0,0,0,0,0,0,0,0,0,0,2,69.63,0,0,1,33.92
801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.708,0,0
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,10,49.55,6,27.365,10,46.37,26,214.45,35,350.225,44,201.94,26,224.94,40,188.44,48,314.655,40,181.783,55,246.838,26,147.05
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,2,9.09,7,72.77,9,39.995,9,134.255,7,33.73,17,76.66,8,37.25,9,39.67,18,109.425,18,81.645,12,54.436,10,44.88
813,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,3,57.68,7,129.055,2,10.595,5,28.74,6,54.205,15,296.59,9,137.85,10,45.4,9,64.24,6,28.805,9,135.687,9,110.82
821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,104.313
822,3,21.62,8,144.09,11,159.03,6,34.86,6,83.88,4,23.76,5,29.26,10,170.4,9,96.06,8,109.635,6,34.57,6,156.868
828,0,0,0,0,3,18.19,0,0,0,0,0,0,1,5.98,2,9.01,7,90.065,3,23.29,5,22.525,4,106.75
829,0,0,0,0,1,59.89,0,0,2,55.745,0,0,0,0,0,0,0,0,1,10.14,4,75.815,0,0
830,3,12.215,6,27.31,7,30.1,6,25.285,23,98.615,12,55.85,15,70.745,23,104.66,24,107.04,23,101.11,13,56.145,11,169.234
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.095,0,0,0,0
832,3,13.6,10,236.28,9,39.315,12,49.475,36,162.365,30,135.605,18,81.535,33,150.02,25,115.095,36,191.913,21,96.7,19,83.208
834,0,0,0,0,0,0,1,6.095,0,0,2,10.8,0,0,1,5.94,2,11.98,3,18.08,5,26.94,2,12.18
835,0,0,2,10.575,2,9.51,1,4.505,4,14.975,2,8.915,1,4.505,3,13.735,6,27.28,4,19.58,1,5.98,3,16.625
836,5,123.94,3,13.71,5,24.18,6,31.695,2,12.08,9,53.33,7,35.93,8,40.67,6,34.485,10,56.16,8,42.081,13,64.446
837,0,0,1,6.12,1,5.98,0,0,0,0,1,49.92,3,15.16,1,6.09,0,0,0,0,0,0,2,9
838,0,0,2,16.095,1,5.98,1,6.36,0,0,1,5.98,1,6,0,0,0,0,0,0,1,4.59,0,0
839,0,0,0,0,0,0,0,0,0,0,1,4.505,0,0,0,0,0,0,0,0,0,0,0,0
840,4,22.84,6,28.6,4,21.1,0,0,1,4.59,0,0,1,5.98,1,4.59,0,0,1,5.94,0,0,1,4.5
841,1,4.59,0,0,0,0,0,0,0,0,1,6,2,10.66,0,0,1,6.095,1,6.095,0,0,0,0
845,1,10,0,0,1,5.985,2,7.685,2,7.355,0,0,0,0,0,0,0,0,0,0,0,0,2,135
846,0,0,0,0,1,6.16,2,9.01,0,0,3,38.275,0,0,1,6.095,0,0,0,0,1,5.94,1,2.04
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,2,11.66,2,10.6,11,87.33,12,73.72,7,50.14,8,40.545,7,38.435,10,80.72,10,51.475,2,10.24,2,10.42,1,4.24
851,1,6,0,0,1,6.12,1,5.83,0,0,0,0,0,0,0,0,2,11.66,1,9.54,2,11.66,1,6.48
852,1,5,0,0,1,25.5,2,10.6,2,11.1,0,0,1,21.42,1,6.12,2,11.66,2,26.83,1,5.83,1,5.83
853,0,0,1,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,1,4.5,3,13.5,3,15.09,0,0,0,0,3,19.635,4,18,2,8.84,2,33.45,0,0,1,4.578
861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,1,12.75,2,19.125,0,0,0,0,1,6.5,0,0,0,0,0,0
870,15,81.68,21,102.348,12,61.665,11,144.362,22,111.205,14,201.25,9,136.2,15,107.965,20,143.318,18,167.015,45,187.695,33,244.588
871,0,0,0,0,1,4.5,0,0,1,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,0,0,0,4,20.1,2,16.5,4,53.91,1,19.62,3,71.2,1,32.7,2,78.52,0,0,0,0,0,0
873,1,4.59,0,0,2,9.09,2,10.5,0,0,1,4.578,0,0,2,12.66,5,21,5,20.668,0,0,1,6.09
874,1,4.59,0,0,0,0,0,0,0,0,0,0,0,0,1,6.12,0,0,0,0,0,0,0,0
