Postcode,Jan 2014 - Installations Quantity,Jan 2014 - SGU Rated Output In kW,Feb 2014 - Installations Quantity,Feb 2014 - SGU Rated Output In kW,Mar 2014 - Installations Quantity,Mar 2014 - SGU Rated Output In kW,Apr 2014 - Installations Quantity,Apr 2014 - SGU Rated Output In kW,May 2014 - Installations Quantity,May 2014 - SGU Rated Output In kW,Jun 2014 - Installations Quantity,Jun 2014 - SGU Rated Output In kW,Jul 2014 - Installations Quantity,Jul 2014 - SGU Rated Output In kW,Aug 2014 - Installations Quantity,Aug 2014 - SGU Rated Output In kW,Sep 2014 - Installations Quantity,Sep 2014 - SGU Rated Output In kW,Oct 2014 - Installations Quantity,Oct 2014 - SGU Rated Output In kW,Nov 2014 - Installations Quantity,Nov 2014 - SGU Rated Output In kW,Dec 2014 - Installations Quantity,Dec 2014 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,2,8.92,0,0,0,0,0,0,0,0,2,9.005,0,0,1,4.505,0,0,0,0,1,18.615,0,0
801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.095
810,6,25.9,16,66.44,17,73.22,9,43.2,16,166.145,21,91.675,8,38.385,15,118.415,13,60.24,18,112.905,15,75.725,17,79.41
811,0,0,1,4.5,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,0,0,6,23.42,7,21.8,8,30.962,7,38.945,8,34.76,6,26.825,7,28.02,4,18.01,8,34.5,4,15.97,6,25.31
813,0,0,0,0,1,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,1,5.98,7,32.05,2,9.48,3,12.125,3,11.395,3,13.595,2,12.17,4,22.785,8,87.115,3,24.055,7,172.6,3,60.625
821,0,0,0,0,0,0,0,0,0,0,0,0,1,9.88,0,0,0,0,0,0,0,0,0,0
822,2,7.5,1,4.5,1,4.5,2,9,1,6,2,9,5,14.5,3,33.62,4,27.09,4,42.71,4,19.8,6,29.475
828,0,0,1,1.5,0,0,1,100,0,0,0,0,0,0,0,0,1,6,0,0,0,0,4,89.11
829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.95,1,6,0,0,0,0
830,2,6.5,3,19,7,25.84,2,9.09,6,26.94,14,59.605,13,54.44,12,58.7,9,40.605,10,45.095,8,37.49,10,35.955
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,2,6.92,5,23.24,9,39.58,1,4.505,10,42.88,4,18.005,7,32.6,5,22.51,4,14.65,9,40.09,5,23.84,8,33.345
834,0,0,0,0,2,5.5,3,9.5,2,10.59,0,0,1,4.5,1,6,2,9.005,1,6.12,3,16.83,1,6
835,2,10.42,1,4.5,1,4.5,1,4.42,1,5.98,3,16.69,2,9,3,15,1,6.095,5,22.5,3,12.21,1,6
836,2,7.59,8,37.4,9,37.88,8,41.895,5,28.72,9,43.615,9,48.385,10,52.82,7,35.22,8,36.695,6,33.21,6,53.355
837,2,9.98,0,0,1,5.98,1,4.5,0,0,0,0,0,0,0,0,0,0,1,4.5,0,0,0,0
838,0,0,0,0,1,6,1,4.5,1,3,1,6,0,0,2,10.5,0,0,1,6.095,2,9,0,0
839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,1,6,0,0,1,4.5,0,0,2,9.005,1,4.5,0,0,1,4.5,0,0
841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
845,1,4.5,1,2,2,8.92,1,4,2,8.005,1,14.84,0,0,0,0,0,0,0,0,0,0,1,4.59
846,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39.485
850,4,18.98,2,8.84,5,70.92,4,19.5,12,153.985,7,36.095,15,83.885,2,8.34,3,33.5,2,88.5,2,11.59,5,24.09
851,0,0,0,0,2,10.5,1,2,1,4.5,1,4.5,1,4.34,0,0,1,4.5,0,0,0,0,0,0
852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,3,41.5,0,0
853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
860,0,0,0,0,0,0,1,9.75,8,51.5,0,0,4,16,0,0,0,0,0,0,1,4,0,0
861,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,21,100.5,18,81.02,25,153.73,29,142.685,26,112.98,21,163.32,25,119.12,24,114.5,21,194.41,13,133.12,14,71.12,18,87.56
871,0,0,0,0,0,0,2,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,0,0,0,1,7.65,0,0,0,0,1,10,1,7,0,0,1,8.2,1,7,0,0,0,0
873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.5,0,0,1,4.5,0,0
874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0,0
875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
