Postcode,Jan 2010 - Installations Quantity,Jan 2010 - SGU Rated Output In kW,Feb 2010 - Installations Quantity,Feb 2010 - SGU Rated Output In kW,Mar 2010 - Installations Quantity,Mar 2010 - SGU Rated Output In kW,Apr 2010 - Installations Quantity,Apr 2010 - SGU Rated Output In kW,May 2010 - Installations Quantity,May 2010 - SGU Rated Output In kW,Jun 2010 - Installations Quantity,Jun 2010 - SGU Rated Output In kW,Jul 2010 - Installations Quantity,Jul 2010 - SGU Rated Output In kW,Aug 2010 - Installations Quantity,Aug 2010 - SGU Rated Output In kW,Sep 2010 - Installations Quantity,Sep 2010 - SGU Rated Output In kW,Oct 2010 - Installations Quantity,Oct 2010 - SGU Rated Output In kW,Nov 2010 - Installations Quantity,Nov 2010 - SGU Rated Output In kW,Dec 2010 - Installations Quantity,Dec 2010 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,0,0,0,0,0,0,1,2.04,2,3.61,1,1.52,0,0,0,0,0,0
810,4,5.59,11,17.83,9,12.71,15,19.625,19,25.58,15,20.51,18,26.09,11,20.545,8,12.003,8,13.95,6,10.525,3,5.7
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,2,2.89,6,7.61,7,10.15,5,7.125,9,11.08,10,16.779,1,2.1,5,6.78,6,13.69,5,11.575,3,9.7,3,5.92
813,0,0,0,0,0,0,0,0,0,0,1,2.064,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,1,4.01,0,0,1,2.04,4,6.06,0,0,0,0,0,0,3,4.49,2,3.27,1,1.52,1,3.04,1,1.52
821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,0,0,1,3.06,1,1.53,5,6.61,5,7.255,3,5.626,0,0,0,0,2,81.52,3,5.96,1,3.33,0,0
828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,2,2.59,3,4.91,5,6.57,6,7.125,5,7.19,7,15.504,4,7.58,5,7.085,5,8.694,9,14.315,5,9.26,5,8.18
831,0,0,0,0,0,0,1,1.575,0,0,0,0,0,0,1,1.575,0,0,0,0,0,0,0,0
832,2,2.53,4,4.55,4,5.06,4,4.55,5,8.47,1,1.04,3,4.86,3,5.31,3,5.104,1,1.52,4,6.515,1,1.52
834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,0,0,2,5.61,2,3.03,1,1,4,10.99,6,9.735,2,14.84,2,2.16,3,6.14,2,3.49,2,5.7,0,0
836,0,0,3,8.91,5,8.48,2,2,7,9.255,4,4.72,7,17.64,1,2.09,3,4.74,0,0,1,1.52,0,0
837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,0,0,0,0,0,0,1,1.02,2,3.105,0,0,0,0,1,1.02,0,0,1,3.33,1,1.9,0,0
839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52,0,0
841,0,0,0,0,0,0,0,0,0,0,1,2.04,0,0,0,0,1,2.1,0,0,0,0,0,0
845,0,0,0,0,1,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.28
846,0,0,0,0,0,0,3,7.11,0,0,0,0,0,0,0,0,0,0,1,1.75,0,0,0,0
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,0,0,0,0,0,0,12,18.62,0,0,0,0,0,0,0,0,0,0,1,1.58,0,0,2,3.675
851,0,0,0,0,0,0,2,3.74,0,0,0,0,0,0,0,0,0,0,2,7.05,0,0,1,1.575
852,0,0,0,0,1,4.2,1,2.8,0,0,0,0,0,0,0,0,2,46.5,0,0,0,0,0,0
853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,1,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,16,31.35,33,83.21,31,77.64,5,27.84,9,33.61,21,45.52,19,68.385,8,17.63,43,74.89,8,22.75,3,5.1,1,4.23
871,0,0,1,11.26,0,0,1,11.4,1,3,0,0,1,5.5,1,2.1,2,5.32,1,5.32,0,0,0,0
872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.05
873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0,0
885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
