Postcode,Jan 2015 - Installations Quantity,Jan 2015 - SGU Rated Output In kW,Feb 2015 - Installations Quantity,Feb 2015 - SGU Rated Output In kW,Mar 2015 - Installations Quantity,Mar 2015 - SGU Rated Output In kW,Apr 2015 - Installations Quantity,Apr 2015 - SGU Rated Output In kW,May 2015 - Installations Quantity,May 2015 - SGU Rated Output In kW,Jun 2015 - Installations Quantity,Jun 2015 - SGU Rated Output In kW,Jul 2015 - Installations Quantity,Jul 2015 - SGU Rated Output In kW,Aug 2015 - Installations Quantity,Aug 2015 - SGU Rated Output In kW,Sep 2015 - Installations Quantity,Sep 2015 - SGU Rated Output In kW,Oct 2015 - Installations Quantity,Oct 2015 - SGU Rated Output In kW,Nov 2015 - Installations Quantity,Nov 2015 - SGU Rated Output In kW,Dec 2015 - Installations Quantity,Dec 2015 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,1,72.08,0,0,0,0,0,0,0,0,1,43.21,0,0,2,18.2,0,0,0,0
801,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,1,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,0,0,0,0,0,0,1,4.77,0,0,0,0,0,0,0,0,0,0
810,9,38.61,15,61.425,27,116.67,28,127.9,23,102.94,12,51.02,14,62.575,31,140.83,16,180.35,23,99.74,13,58.995,14,64.41
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,8,34.18,14,60.06,16,69.565,10,45.205,15,64.02,9,40.45,11,48.145,8,73.61,8,36.46,7,77.45,8,37.41,8,36.275
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5
814,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,2,9.01,5,22.595,7,45.215,2,9.09,8,167.775,6,125.92,2,9.18,5,183.5,2,169.82,5,72.98,4,21.39,6,49.8
821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,3,16.295,3,17.125,8,42.385,1,6.24,6,51,7,106.81,5,56.53,2,104.34,4,62.08,2,9,3,15.3,1,6.24
828,0,0,0,0,1,90,1,6,1,6,0,0,1,5.98,1,6.12,0,0,0,0,4,67.76,0,0
829,0,0,0,0,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0
830,4,16.14,5,19.205,8,36.095,5,19.875,12,252.94,4,18.09,18,82.16,7,31.68,8,133.11,2,9.09,10,142.395,8,36.03
831,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,5,22.605,11,44.43,7,29.74,8,32.74,5,23.49,4,18.18,4,18.01,4,18.19,12,54.295,3,14.9,5,22.77,6,24.01
834,1,6.095,1,24.91,1,4.5,3,16.62,2,7.5,2,12.24,1,6,1,6.12,1,4.5,1,6,0,0,1,6
835,2,10.6,8,60.33,2,7.5,2,10.71,2,12.12,1,4.5,2,10.57,1,4.5,1,83.25,2,7.5,4,24.101,0,0
836,1,6.095,5,27.245,5,25.81,4,37.47,2,10.92,7,41.07,7,36.42,5,22.29,6,31.845,0,0,4,22.625,2,10.505
837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,0,0,1,4.59,0,0,0,0,0,0,0,0,1,4.59,1,4.5,0,0,1,60.06,1,6.12,0,0
839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,1,6,0,0,1,4.5,1,4.59,1,5.98,0,0,0,0,1,5.98,0,0
841,0,0,0,0,2,7.74,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,1,3,0,0
845,1,6.095,0,0,1,4.5,1,4.5,0,0,0,0,0,0,0,0,1,6.12,0,0,1,1.5,3,20.13
846,0,0,0,0,2,8.32,2,6.75,0,0,0,0,0,0,0,0,1,4.5,1,5.83,0,0,0,0
847,0,0,1,4.59,0,0,0,0,0,0,0,0,1,4.42,0,0,0,0,0,0,0,0,0,0
850,5,24.105,3,18.24,4,19.27,6,126.85,4,29.335,15,68.9,15,74.58,18,197.86,10,217.47,14,173.93,8,139.795,1,20.02
851,0,0,3,14.5,0,0,0,0,0,0,1,6,1,6,0,0,0,0,1,5.98,1,20.46,1,6.095
852,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60.32
860,0,0,1,10,1,5,0,0,2,5.5,0,0,8,33,0,0,5,24,1,4.5,11,45,0,0
861,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,0,0
870,10,40.98,8,79,18,165.28,17,60.07,11,44,15,64,25,106.52,41,179.656,41,286.5,28,113.9,38,204.583,9,162.19
871,2,10.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.335
872,0,0,0,0,0,0,0,0,1,24.96,1,6,0,0,1,10,0,0,2,21.1,2,14,2,118.845
873,1,4.5,0,0,0,0,1,6,1,15,1,4.5,0,0,0,0,0,0,1,6,1,4.5,0,0
874,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0
875,0,0,1,4.5,1,4.5,0,0,0,0,1,4.5,1,3,3,13.578,1,4.5,2,7.5,9,39,1,4.505
880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
