Postcode,Jan 2019 - Installations Quantity,Jan 2019 - SGU Rated Output In kW,Feb 2019 - Installations Quantity,Feb 2019 - SGU Rated Output In kW,Mar 2019 - Installations Quantity,Mar 2019 - SGU Rated Output In kW,Apr 2019 - Installations Quantity,Apr 2019 - SGU Rated Output In kW,May 2019 - Installations Quantity,May 2019 - SGU Rated Output In kW,Jun 2019 - Installations Quantity,Jun 2019 - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,2,13.09,3,19.8,1,32.34,1,6.6,4,26.2,13,76.815,6,271.49,2,13.2,0,0,2,11.07,6,211.875
801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,31,207.72,41,263.065,77,514.455,50,371.365,60,405.785,52,488.28,57,392.6,50,370.68,39,341.6,65,430.695,72,554.005,85,738.155
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,26,163.025,33,252.61,31,223.8,25,157.455,39,251.595,28,183.395,34,213.32,28,178.96,27,334.65,32,203.55,42,271.57,46,298.25
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,14,112.67,19,133.79,20,139.025,16,155.21,37,327.56,26,199.67,19,180.54,15,105.26,20,135.745,18,181.74,19,134.055,20,287.42
821,0,0,0,0,0,0,0,0,0,0,0,0,1,9.3,0,0,0,0,0,0,0,0,0,0
822,13,99.66,8,132.622,13,99.17,17,164.585,16,145.025,14,119.255,6,32.605,16,170.055,19,286.615,14,218.66,22,164,20,349.085
828,4,46.945,3,39.69,6,101.57,5,32.56,6,46.65,4,122.19,3,22.5,3,27.21,5,61.58,7,43.34,2,15.715,6,80.425
829,0,0,1,9.145,0,0,0,0,1,36.34,1,99.71,1,9.135,0,0,1,98.56,0,0,1,6.6,1,6.3
830,23,154.935,38,248.355,48,350.485,40,332.675,49,318.735,36,227.51,36,252.2,35,303.65,27,187.46,36,273.965,39,241.025,37,335.21
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,36,224.88,32,200.885,40,263.895,44,275.816,47,303.53,41,265.775,53,427.427,39,241.515,40,246.2,50,315.31,47,301.095,45,290.12
834,1,6.48,7,55.315,3,19.87,4,31.585,7,61.715,3,21.95,2,15.88,5,40.335,3,21.28,4,31.045,4,29.5,4,28.93
835,5,37.76,4,34.39,7,53.495,4,36.535,8,53.485,6,44.885,6,44.345,8,54.87,10,67.735,10,75.92,5,40.5,13,163.155
836,26,216.13,22,176.325,20,166.215,17,139.24,24,183.905,19,149.8,27,226.11,18,135.95,19,229.79,24,182.775,19,161.34,20,152.615
837,0,0,0,0,0,0,0,0,3,24.78,1,9.135,0,0,3,50.745,3,23.04,1,8.99,0,0,0,0
838,1,6.49,5,43.235,0,0,5,38.33,0,0,8,60.785,3,22.125,0,0,0,0,2,15.745,1,6.645,2,18.245
839,2,12.98,0,0,0,0,0,0,0,0,1,39.6,0,0,2,12.98,1,6.6,2,105,0,0,0,0
840,1,6.49,2,15.635,0,0,2,11.215,0,0,2,12.97,3,24.89,5,38.305,5,36.405,2,15.635,4,28.85,3,19.38
841,2,18.265,2,15.635,1,6.6,1,9,4,33.755,3,22.215,0,0,1,9.135,1,9.3,2,18.445,1,6.6,0,0
845,0,0,0,0,0,0,0,0,1,6.6,0,0,0,0,0,0,3,14.8,0,0,0,0,1,6.49
846,0,0,0,0,1,6.6,1,6.49,0,0,0,0,0,0,1,4.8,0,0,0,0,0,0,3,37
847,0,0,0,0,0,0,1,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,2,41.105,6,73.68,8,59.315,3,27.91,8,197.01,12,141.61,6,38.5,18,113.695,10,133.765,9,70.085,9,159.285,15,107.59
851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,0,0,3,23.45,1,9.24,0,0,4,50.81,3,69.25,7,66.48,1,6.49,2,19.18,1,9.28,2,27.66,3,15.66
853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.48,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,121.51,1,24.18,0,0,0,0,0,0
861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0,1,65.1,0,0,0,0,0,0,0,0,3,10.56,1,2.64
870,6,49.485,10,70.415,10,213.385,17,193.12,19,120.635,17,108.495,19,148.195,20,132.645,25,190.88,39,268.65,34,259.335,16,115.63
871,0,0,0,0,1,6.6,1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,0,2,22.8,2,11.805,0,0,2,19.92,1,10.14,1,6,4,156.715,1,9,0,0,1,7.245,2,10.4
873,1,5.67,2,15.615,0,0,3,15.27,1,5.775,0,0,3,22.07,2,9.216,1,9.3,1,6.4,5,38.23,4,141.95
874,0,0,1,5.4,0,0,0,0,0,0,2,7.95,0,0,1,9.3,0,0,1,6.6,1,6.65,2,13.23
