Postcode,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW
2068,16,135.95,19,149.3,21,170.695,16,101.065,8,62.14
2069,7,66.01,14,110.015,13,114.37,18,162.3,6,41.495
2070,18,166.99,11,88.28,10,88.615,12,105.35,7,51.79
2071,9,66.65,8,63.16,12,125.1,8,80.485,5,40.22
2072,6,38.49,2,19.04,3,27.82,5,46.99,2,20.35
2073,19,163.905,14,137.345,13,115.045,17,150.82,6,50.505
2074,19,139.37,26,206.02,28,254.56,15,120.52,6,48.7
2075,18,153.005,38,388.555,16,129.25,18,281.295,11,93.535
2076,19,157.72,17,148.16,18,234.23,19,147.7,5,48.41
2077,34,258.89,34,313.91,28,239.17,16,137.07,13,105.08
2079,6,55.04,14,110.81,9,68.74,9,64.25,5,33.095
2080,1,6.66,2,12.235,0,0,3,29.145,1,9.9
2081,1,5.92,13,90.23,6,53.89,4,33.275,1,10.14
2082,3,25.53,4,28.17,11,93.54,6,42.82,2,13.485
2083,1,6.66,0,0,1,4.8,4,39.97,1,10.36
2084,7,61.77,3,28.86,3,44.76,3,20.35,2,11.84
2085,10,83.72,16,125.105,9,76.975,13,111.17,6,50.24
2086,16,116.735,20,172.18,10,79.02,14,123.495,10,70.825
2087,8,65.97,14,106.18,13,123.725,14,106.665,4,36.025
2088,10,111.39,11,84.03,11,94.91,9,85.21,3,49.23
